name,componente,codigo_cmn,n_decreto,categoria,fecha_decreto,nombre,codigo_raiz,observacion_division_politica_administrativa,tipo_de_decreto,fecha_de_publicacion_en_el_diario_oficial,superficie_oficial_en_hectareas,superficie_oficial_en_metros_cuadrados,lon,lat
Iglesia de Alhué,No aplica,00135_MH_13502,11,Monumento Histórico,07-01-1974,Iglesia de Alhué,No aplica,Sin Observaciones,Decreto Supremo,11-02-1974,0,0,-71.09934496,-34.03169797
"Parque de la Viña Santa Rita, casa principal (fue de Paula Jaraquemada), capilla y bodegas",Parque de la Viña Santa Rita,00098_MH_13402,2017,Monumento Histórico,24-10-1972,"Parque de la Viña Santa Rita, casa principal (fue de Paula Jaraquemada), capilla y bodegas",No aplica,Sin Observaciones,Decreto Supremo,22-11-1972,40,400000,-70.67531952,-33.72761114
"Parque de la Viña Santa Rita,  casa principal (fue de Paula Jaraquemada), capilla y bodegas",Capilla,00100_MH_13402,2017,Monumento Histórico,24-10-1972,"Parque de la Viña Santa Rita,  casa principal (fue de Paula Jaraquemada), capilla y bodegas",00098_MH_13402,Sin Observaciones,Decreto Supremo,22-11-1972,0,0,-70.67638544,-33.72492255
"Parque de la Viña Santa Rita,  casa que fue de Paula Jaraquemada, capilla y bodegas",Bodegas,00101_MH_13402,2017,Monumento Histórico,24-10-1972,"Parque de la Viña Santa Rita,  casa que fue de Paula Jaraquemada, capilla y bodegas",00098_MH_13402,Sin Observaciones,Decreto Supremo,22-11-1972,0,0,-70.67638544,-33.72492255
Casa de los religiosos jesuitas en Calera de Tango,No aplica,00087_MH_13403,2412,Monumento Histórico,06-10-1971,Casa de los religiosos jesuitas en Calera de Tango,No aplica,Sin Observaciones,Decreto Supremo,0:00:00,0,0,-70.80343728,-33.63766158
Torre atrio y uno de los muros perimetrales de la Iglesia Inmaculada Concepción de Colina,No aplica,00079_MH_13301,1749,Monumento Histórico,26-07-1971,Torre atrio y uno de los muros perimetrales de la Iglesia Inmaculada Concepción de Colina,No aplica,Sin Observaciones,Decreto Supremo,26-07-1971,"0,3976",3976,-70.67971886,-33.2035327
Casas y Capilla de la Hacienda de Chacabuco,Casas de la Hacienda de Chacabuco,00394_MH_13301,432,Monumento Histórico,16-07-1985,Casas y Capilla de la Hacienda de Chacabuco,No aplica,Sin Observaciones,Decreto Supremo,20-09-1985,0,0,-70.69070921,-33.02855759
Casas y Capilla de la Hacienda de Chacabuco,Capilla de la Hacienda de Chacabuco,00395_MH_13301,432,Monumento Histórico,16-07-1985,Casas y Capilla de la Hacienda de Chacabuco,00394_MH_13301,Sin Observaciones,Decreto Supremo,20-09-1985,0,0,-70.69070921,-33.02855759
Iglesia de El Monte,No aplica,00136_MH_13602,11,Monumento Histórico,07-01-1974,Iglesia de El Monte,No aplica,Sin Observaciones,Decreto Supremo,11-02-1974,0,0,-70.97888053,-33.67818085
Casas del Fundo San Miguel,No aplica,00137_MH_13602,11,Monumento Histórico,07-01-1974,Casas del Fundo San Miguel,No aplica,Sin Observaciones,Decreto Supremo,11-02-1974,0,0,-70.96933775,-33.67368367
Conjunto de Edificios de la Estación Central de Ferrocarriles o Estación Alameda,No aplica,00330_MH_13106,614,Monumento Histórico,29-06-1983,Conjunto de Edificios de la Estación Central de Ferrocarriles o Estación Alameda,No aplica,Sin Observaciones,Decreto Supremo,28-07-1986,0,0,-70.67892975,-33.45173017
Escuela de Artes y Oficios,No aplica,00416_MH_13106,379,Monumento Histórico,12-06-1986,Escuela de Artes y Oficios,No aplica,Sin Observaciones,Decreto Supremo,09-09-1992,0,0,-70.68631567,-33.45041041
Maestranza de Ferrocarriles San Eugenio y edificaciones anexas,Casa de Máquinas N° 2,01041_MH_13106,2050,Monumento Histórico,23-10-2007,Maestranza de Ferrocarriles San Eugenio y edificaciones anexas,01040_MH_13106,Sin Observaciones,Decreto Exento,0:00:00,0,0,-70.67682295,-33.47485084
Maestranza de Ferrocarriles San Eugenio y edificaciones anexas,Tornamesa N° 1,01042_MH_13106,2050,Monumento Histórico,23-10-2007,Maestranza de Ferrocarriles San Eugenio y edificaciones anexas,01040_MH_13106,Sin Observaciones,Decreto Exento,0:00:00,"13,721",13721,-70.67715921,-33.47545712
